file,line,reference,missing_verses,note
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter12_chapter_12_discipleship.md,83,Luke 6:40,,Missing book Luke
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,8,Matthew 28:18-20,,Missing book Matthew
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,74,Matthew 28:18,,Missing book Matthew
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,89,John 10:17-18,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,104,Mark 2:10,,Missing book Mark
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,119,Luke 10:19,,Missing book Luke
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,134,Matthew 8:16-17,,Missing book Matthew
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,149,John 5:22-23,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,164,Ephesians 1:22-23,,Missing book Ephesians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,179,Colossians 1:16-17,,Missing book Colossians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,194,Revelation 1:18,,Missing book Revelation
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,209,Acts 1:8,,Missing book Acts
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,233,Revelation 1:18,,Missing book Revelation
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,245,John 5:19,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,260,Revelation 3:20,,Missing book Revelation
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,272,Galatians 6:7-8,,Missing book Galatians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,287,John 14:12-14,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,299,James 4:2-3,,Missing book James
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,314,Mark 16:15-20,,Missing book Mark
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,377,1 Timothy 5:22,,Missing book 1 Timothy
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,524,Mark 16:17,,Missing book Mark
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter13_chapter_13_spiritual_authority.md,539,Matthew 18:18,,Missing book Matthew
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter14_back_1_postscript.md,17,Philippians 3:12-14,,Missing book Philippians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter14_back_5_hearing_the_voice_of_god.md,121,Jeremiah 29:11,,Missing book Jeremiah
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter14_chapter_14_keep_watch.md,44,Acts 1:11,,Missing book Acts
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter14_chapter_14_keep_watch.md,53,Revelation 22:12,,Missing book Revelation
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter14_chapter_14_keep_watch.md,80,John 5:28-29,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter14_chapter_14_keep_watch.md,89,1 Thessalonians 4:16,,Missing book 1 Thessalonians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter14_chapter_14_keep_watch.md,119,Revelation 20:11-12,,Missing book Revelation
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter14_chapter_14_keep_watch.md,137,2 Corinthians 5:10,,Missing book 2 Corinthians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter14_chapter_14_keep_watch.md,146,1 Corinthians 3:12-15,,Missing book 1 Corinthians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter14_chapter_14_keep_watch.md,199,Matthew 25:46,,Missing book Matthew
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter14_chapter_14_keep_watch.md,226,Revelation 20:10,,Missing book Revelation
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter14_chapter_14_keep_watch.md,253,"Revelation 21:1,3",,Missing book Revelation
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter1_chapter_1_sound_doctrine_matters.md,11,Matthew 28:18-20,,Missing book Matthew
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter1_chapter_1_sound_doctrine_matters.md,47,Psalm 127:1,,Missing book Psalm
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter1_chapter_1_sound_doctrine_matters.md,74,John 8:31-32,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter1_chapter_1_sound_doctrine_matters.md,113,Ephesians 4:11-16,,Missing book Ephesians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter1_chapter_1_sound_doctrine_matters.md,182,2 Timothy 4:1-4,,Missing book 2 Timothy
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter1_chapter_1_sound_doctrine_matters.md,194,2 Timothy 3:1-9,,Missing book 2 Timothy
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter1_chapter_1_sound_doctrine_matters.md,236,Colossians 2:8,,Missing book Colossians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter1_chapter_1_sound_doctrine_matters.md,245,"Mark 7:9,13",,Missing book Mark
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter1_chapter_1_sound_doctrine_matters.md,257,2 Peter 1:20-21,,Missing book 2 Peter
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter1_chapter_1_sound_doctrine_matters.md,272,1 Timothy 4:1,,Missing book 1 Timothy
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter1_chapter_1_sound_doctrine_matters.md,284,John 15:8,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter1_chapter_1_sound_doctrine_matters.md,299,Hebrews 6:1-2,,Missing book Hebrews
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter2_chapter_2_god_eternal_creator_and_loving_father.md,80,Exodus 3:14,,Missing book Exodus
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter2_chapter_2_god_eternal_creator_and_loving_father.md,95,Exodus 7:16,,Missing book Exodus
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter2_chapter_2_god_eternal_creator_and_loving_father.md,110,Exodus 12:31,,Missing book Exodus
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter3_chapter_3_sin_and_redemption.md,44,Genesis 4:1-16,,Missing book Genesis
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter3_chapter_3_sin_and_redemption.md,133,Isaiah 59:2,,Missing book Isaiah
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter3_chapter_3_sin_and_redemption.md,142,Romans 6:23,,Missing book Romans
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter3_chapter_3_sin_and_redemption.md,151,Galatians 6:7-8,,Missing book Galatians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter3_chapter_3_sin_and_redemption.md,169,Revelation 20:12-13,,Missing book Revelation
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter3_chapter_3_sin_and_redemption.md,178,Matthew 12:36-37,,Missing book Matthew
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter3_chapter_3_sin_and_redemption.md,190,Hebrews 9:27,,Missing book Hebrews
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter3_chapter_3_sin_and_redemption.md,199,Ecclesiastes 12:14,,Missing book Ecclesiastes
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter3_chapter_3_sin_and_redemption.md,208,Romans 2:5-6,,Missing book Romans
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter3_chapter_3_sin_and_redemption.md,313,Romans 3:23,,Missing book Romans
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter3_chapter_3_sin_and_redemption.md,325,1 John 1:8-10,,Missing book 1 John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter4_chapter_4_jesus_the_messiah.md,122,Luke 4:16-21,,Missing book Luke
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter4_chapter_4_jesus_the_messiah.md,239,John 3:16,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter4_chapter_4_jesus_the_messiah.md,254,2 Corinthians 5:17,,Missing book 2 Corinthians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter4_chapter_4_jesus_the_messiah.md,266,Romans 10:9-10,,Missing book Romans
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter5_chapter_5_repentance_from_dead_works.md,11,Hebrews 6:1,,Missing book Hebrews
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter5_chapter_5_repentance_from_dead_works.md,92,John 10:10,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter5_chapter_5_repentance_from_dead_works.md,131,Matthew 4:17,,Missing book Matthew
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter5_chapter_5_repentance_from_dead_works.md,158,John 8:31-32,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter5_chapter_5_repentance_from_dead_works.md,167,John 16:13,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter5_chapter_5_repentance_from_dead_works.md,271,Psalm 139:23-24,,Missing book Psalm
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter5_chapter_5_repentance_from_dead_works.md,289,2 Corinthians 7:10,,Missing book 2 Corinthians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter5_chapter_5_repentance_from_dead_works.md,358,Ephesians 2:8-10,,Missing book Ephesians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,11,Hebrews 6:1-2,,Missing book Hebrews
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,101,Romans 10:16-17,,Missing book Romans
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,191,Philippians 4:6-7,,Missing book Philippians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,203,2 Corinthians 5:7,,Missing book 2 Corinthians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,215,Romans 4:19-22,,Missing book Romans
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,251,Romans 10:16-17,,Missing book Romans
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,284,James 1:22,,Missing book James
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,299,James 2:14-20,,Missing book James
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,352,Deuteronomy 28:1-14,,Missing book Deuteronomy
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,364,Psalm 32:8,,Missing book Psalm
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,376,1 John 3:22,,Missing book 1 John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,388,Psalm 34:7,,Missing book Psalm
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,400,Psalm 119:165,,Missing book Psalm
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,412,Isaiah 1:19,,Missing book Isaiah
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,424,Psalm 37:23-24,,Missing book Psalm
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,436,Isaiah 40:31,,Missing book Isaiah
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,448,Exodus 20:6,,Missing book Exodus
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter6_chapter_6_faith_toward_god.md,460,Romans 2:7,,Missing book Romans
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter7_chapter_7_jesus_the_foundation_of_our_faith.md,47,Hebrews 9:15,,Missing book Hebrews
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md,11,John 14:16-18,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md,32,John 16:7,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md,53,Acts 1:4-9,,Missing book Acts
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md,137,Ephesians 1:13-14,,Missing book Ephesians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md,173,1 John 4:1,,Missing book 1 John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md,212,Matthew 28:18-20,,Missing book Matthew
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md,224,John 16:8-11,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md,248,Acts 1:8,,Missing book Acts
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md,281,Luke 12:11-12,,Missing book Luke
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md,293,Matthew 16:18,,Missing book Matthew
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter9_chapter_9_the_church_our_role_in_it.md,29,1 Corinthians 1:2,,Missing book 1 Corinthians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter9_chapter_9_the_church_our_role_in_it.md,41,Matthew 16:18,,Missing book Matthew
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter9_chapter_9_the_church_our_role_in_it.md,308,Ephesians 4:11-13,,Missing book Ephesians
# 0 total missing verses across 17 files
